CMDLINE /usr/bin/python3 ./memory_profile.py
MEM 3227.804688 1690433234.0004
MEM 3227.804688 1690433234.1010
MEM 3227.804688 1690433234.2020
MEM 3228.031250 1690433234.3026
MEM 3228.031250 1690433234.4038
MEM 3228.031250 1690433234.5048
MEM 3228.031250 1690433234.6054
MEM 3236.796875 1690433234.7062
MEM 3237.054688 1690433234.8071
MEM 3237.054688 1690433234.9080
MEM 3237.054688 1690433235.0088
MEM 3237.054688 1690433235.1095
MEM 3237.054688 1690433235.2103
MEM 3237.054688 1690433235.3110
MEM 3237.054688 1690433235.4119
MEM 3237.054688 1690433235.5125
MEM 3237.054688 1690433235.6131
MEM 3237.054688 1690433235.7137
MEM 3237.054688 1690433235.8144
MEM 3237.054688 1690433235.9151
MEM 3246.062500 1690433236.0157
MEM 3246.062500 1690433236.1164
MEM 3246.062500 1690433236.2170
MEM 3246.062500 1690433236.3176
MEM 3246.062500 1690433236.4182
MEM 3246.062500 1690433236.5188
MEM 3246.062500 1690433236.6194
MEM 3246.062500 1690433236.7200
MEM 3246.062500 1690433236.8206
MEM 3246.062500 1690433236.9213
MEM 3246.421875 1690433237.0221
MEM 3246.421875 1690433237.1227
MEM 3255.312500 1690433237.2236
MEM 3255.312500 1690433237.3242
MEM 3255.312500 1690433237.4252
MEM 3255.312500 1690433237.5259
MEM 3255.312500 1690433237.6266
MEM 3255.539062 1690433237.7271
MEM 3264.300781 1690433237.8278
MEM 3264.300781 1690433237.9287
MEM 3264.300781 1690433238.0293
MEM 3264.300781 1690433238.1300
MEM 3264.562500 1690433238.2307
MEM 3268.140625 1690433238.3317
MEM 3273.554688 1690433238.4327
MEM 3273.554688 1690433238.5333
MEM 3273.554688 1690433238.6344
MEM 3273.554688 1690433238.7352
MEM 3273.554688 1690433238.8363
MEM 3282.523438 1690433238.9370
MEM 3282.523438 1690433239.0376
MEM 3282.523438 1690433239.1384
MEM 3282.523438 1690433239.2391
MEM 3282.523438 1690433239.3397
MEM 3282.523438 1690433239.4403
MEM 3291.488281 1690433239.5411
MEM 3291.488281 1690433239.6418
MEM 3291.488281 1690433239.7424
MEM 3291.488281 1690433239.8429
MEM 3291.675781 1690433239.9436
MEM 3291.675781 1690433240.0442
MEM 3300.687500 1690433240.1451
MEM 3300.687500 1690433240.2461
MEM 3300.687500 1690433240.3480
MEM 3300.699219 1690433240.4487
MEM 3298.734375 1690433240.5493
MEM 3298.734375 1690433240.6499
MEM 3204.105469 1690433240.7505
MEM 3204.105469 1690433240.8511
MEM 3204.109375 1690433240.9520
MEM 3204.171875 1690433241.0536
