CMDLINE /home/ey/personal/program/MoE/huggingface/transformers/venv/bin/python ./memory_profile.py
MEM 1312.824219 1684684079.2824
MEM 1323.394531 1684684079.3830
MEM 1323.968750 1684684079.4836
MEM 1323.968750 1684684079.5841
MEM 1323.968750 1684684079.6846
MEM 1323.968750 1684684079.7851
MEM 1323.968750 1684684079.8856
MEM 1323.968750 1684684079.9860
MEM 1323.968750 1684684080.0865
MEM 1323.968750 1684684080.1870
MEM 1323.968750 1684684080.2875
MEM 1323.968750 1684684080.3880
MEM 1323.968750 1684684080.4885
MEM 1324.390625 1684684080.5895
MEM 1324.390625 1684684080.6902
MEM 1324.390625 1684684080.7907
MEM 1324.390625 1684684080.8913
MEM 1324.390625 1684684080.9918
MEM 1324.390625 1684684081.0924
MEM 1324.390625 1684684081.1929
MEM 1324.390625 1684684081.2935
MEM 1324.390625 1684684081.3941
MEM 1324.390625 1684684081.4947
MEM 1324.390625 1684684081.5953
MEM 1324.390625 1684684081.6972
MEM 1324.390625 1684684081.7979
MEM 1324.390625 1684684081.8986
MEM 1324.390625 1684684081.9993
MEM 1324.390625 1684684082.1001
MEM 1324.390625 1684684082.2007
MEM 1179.816406 1684684082.3014
MEM 1179.816406 1684684082.4022
MEM 1265.753906 1684684082.5032
MEM 1324.792969 1684684082.6041
MEM 1414.511719 1684684082.7050
MEM 1459.144531 1684684082.8058
MEM 1519.566406 1684684082.9067
MEM 1570.332031 1684684083.0074
MEM 1661.855469 1684684083.1082
MEM 1733.527344 1684684083.2089
MEM 1824.019531 1684684083.3097
MEM 1886.000000 1684684083.4105
MEM 1957.156250 1684684083.5114
MEM 2026.765625 1684684083.6121
MEM 2080.390625 1684684083.7129
MEM 2134.531250 1684684083.8135
MEM 2197.437500 1684684083.9143
MEM 2245.179688 1684684084.0151
MEM 1867.324219 1684684084.1158
MEM 1322.718750 1684684084.2163
MEM 868.433594 1684684084.3169
MEM 868.433594 1684684084.4176
MEM 868.433594 1684684084.5184
MEM 868.433594 1684684084.6191
MEM 868.433594 1684684084.7198
MEM 868.433594 1684684084.8205
MEM 877.074219 1684684084.9213
MEM 877.074219 1684684085.0219
MEM 0.000000 1684684085.1225
MEM 0.000000 1684684085.2231
